"","CAMHB 0.0625ug/mL Nafcillin 1","CAMHB 0.5ug/mL Nafcillin 1","CAMHB 0ug/mL Nafcillin 1","CAMHB 0.0625ug/mL Nafcillin 2","CAMHB 0.5ug/mL Nafcillin 3","CAMHB 0ug/mL Nafcillin 2","CAMHB 0ug/mL Nafcillin 3","CAMHB 0.0625ug/mL Nafcillin 3","CAMHB 0.5ug/mL Nafcillin 2","R10LB 0.031ug/mL Nafcillin 1","R10LB 0.0625ug/mL Nafcillin 1","R10LB 0ug/mL Nafcillin 1","R10LB 0.0625ug/mL Nafcillin 3","R10LB 0.031ug/mL Nafcillin 2","R10LB 0ug/mL Nafcillin 3","R10LB 0.031ug/mL Nafcillin 3","R10LB 0ug/mL Nafcillin 2","R10LB 0.0625ug/mL Nafcillin 2"
"USA300HOU_RS00405",4.77516032083717,6.10527740157356,3.97263948144041,4.95372806421839,4.9510329554262,5.19453899818755,5.21382692704645,4.64168944185035,4.54075034409667,5.28829180898804,5.55692004005741,5.00812639592076,5.82768053136162,5.81577518253674,4.74034079176418,5.24326733195051,4.62522943575347,5.37191984283726
"USA300HOU_RS00410",5.82857203600834,5.85682746778463,5.56478583342913,5.81973845117717,5.58967022618895,5.76114919254821,5.84394814840524,5.76879554946816,5.59069213739834,6.37932528789018,6.39378649841631,6.40234092377722,6.50175775782782,6.69407379791086,6.37351067970285,6.32657975876525,6.25293351549005,6.25312917862635
"USA300HOU_RS00415",3.27411853754713,3.13682925449972,3.0460782928465,2.92399892089022,3.14424794669289,3.74289749309302,3.40601706425,2.91758499419033,2.79387220331333,5.63828624810715,5.67751256603125,5.01988607257497,5.5962887719104,5.59218753550993,5.25453945817182,5.61907017581982,5.59027687685804,5.26623479117772
"USA300HOU_RS00425",3.15598791874879,3.24074531020819,2.82220084616485,3.21387821523025,2.82572457578279,3.19480765785553,3.02251637535163,3.40477951246629,2.80444168702814,5.1922610274109,5.41497264565875,3.60529427237454,4.94692095463904,4.77073395362578,4.6861629141252,4.76269595384534,4.90897779895033,4.70366379288086
"USA300HOU_RS00430",2.88231524934389,2.68254228652751,2.90721998965693,3.49518575369099,2.40887991570679,2.12296680339934,2.7649540850058,3.24679831762349,2.83662463638062,4.37947420543469,5.20352507491264,3.57584950592926,4.77566239520057,4.71657911528009,4.15259364460661,4.45570962738959,3.8607559714823,4.73654944717868
"USA300HOU_RS00435",2.85262834586294,2.72261114970546,3.23548783481201,2.87944259764101,2.87163697929716,3.19678995820643,3.10635194257651,2.78295167071916,2.78593242188271,2.03534934834063,2.16358050891441,1.22702307232435,1.8712030211694,1.70758477506813,1.62680820454025,2.01560778097656,1.73357651123501,2.07725504686635
"USA300HOU_RS00440",3.9975916142648,3.93463362871944,3.8671162864065,3.88155952864999,4.15550901325237,3.95647609252943,3.80288532062384,3.82899090004424,4.01192535363079,3.4964311430196,3.69228793131284,2.74299969070347,3.33531509040585,3.20341583516205,3.34172589419064,3.33081524102848,3.44046567707532,3.32654007438009
"USA300HOU_RS00455",6.73971623467922,6.73252608746632,6.96289776605176,6.82368743138395,6.66943921394001,6.73875990673044,6.98523979976344,6.806895342039,6.85054213451146,6.3386362806328,6.31027419689164,6.44341319383789,5.95296871996317,6.1231457399416,7.01311364823366,5.85242642748997,6.49149993428599,6.22470976365602
"USA300HOU_RS00465",5.8723316970436,5.66889796743796,5.81935056028862,5.69916539047268,5.62640890478213,5.64892993816323,5.90108487195505,5.78998695314659,5.95125673051573,4.97362706236076,5.00522991776329,5.3884414807779,5.21706672821395,5.165669837006,4.95904847652622,5.20771438758597,4.99970194774213,5.20601217644254
"USA300HOU_RS00470",2.57960727660541,2.58222946847671,2.27513596653037,2.41668862242959,2.36704625985583,2.82621748531858,2.60132327027872,2.45503404939759,2.2163811796,4.04615280454842,3.63446078195912,2.86641179389601,3.74584412577581,3.6913126653911,3.52232689579154,3.38125497246066,3.48845428822926,3.46231406502184
"USA300HOU_RS00480",6.04803118938785,5.95171086053976,5.90627315450087,6.10647931868624,5.8342326936418,5.92428719419223,5.99807449980671,5.99302969866885,5.83218026776302,5.68449805196595,5.64422093776469,5.31292298525705,5.87281566261915,5.88055643289076,5.29065172218922,5.6487781741954,5.32961615448859,5.59310122178025
"USA300HOU_RS00485",3.44481236379469,3.66571364911178,3.14833552608894,3.55602037582647,3.25569295330948,3.54762257270436,3.42580122163074,3.42105767256312,2.98683324377065,3.94655388354154,3.89261942099818,2.96758774210432,3.80594286431604,3.80621471653444,3.7205280197143,3.27339315079198,3.54373462892125,3.47977373329886
